                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.18% (0.77%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  9.08% (1.97%) * |  3.66% (0.72%) * |  1.51% (0.42%) * |  1.35% (0.25%) * |  0.76% (0.28%) *
audiology       |     74.77% | 62.00% (4.20%) * | 46.97% (5.88%) * | 29.44% (2.71%) * | 22.62% (2.16%) * | 22.47% (1.84%) *
autos           |     67.35% | 70.50% (6.10%)   | 48.07% (5.23%) * | 34.90% (1.44%) * | 29.00% (3.11%) * | 21.66% (3.01%) *
credit-a        |     44.49% | 19.48% (3.36%) * | 12.86% (1.84%) * | 19.73% (1.53%) * | 19.17% (1.34%) * | 19.12% (1.02%) *
hypothyroid     |      7.71% |  2.90% (0.18%) * |  1.59% (0.31%) * |  0.65% (0.09%) * |  0.77% (0.08%) * |  0.62% (0.06%) *
letter          |     96.26% | 28.87% (0.69%) * | 21.51% (0.45%) * | 16.48% (0.21%) * | 13.37% (0.09%) * | 11.80% (0.17%) *
microarray      |     50.20% | 50.83% (3.50%)   | 51.85% (3.10%)   | 50.84% (1.55%)   | 46.52% (2.08%) * | 48.73% (1.17%) *
vote            |     38.63% | 15.00% (3.02%) * |  5.45% (1.57%) * |  7.10% (0.98%) * |  3.22% (0.64%) * |  5.75% (0.45%) *

