iter,w0,w1,w2,w3
1,1,1,1,1
2,0.8,-2.042,0.968,0.55876537
3,1,-1.65,1.168,0.95474517
4,0.8,-1.652,-1.01,1.04808326
5,0.8,-1.652,-1.01,1.04808326
6,0.8,-1.652,-1.01,1.04808326
7,1,-1.202,-0.96,1.2602153
8,1.2,-0.914,-0.51,0.75109841
9,1.4,-0.786,-0.31,0.52482424
10,1.4,-0.786,-0.31,0.52482424
11,1.4,-0.786,-0.31,0.52482424
12,1.4,-0.786,-0.31,0.52482424
13,1.2,-1.074,-1.768,-0.39158615
14,1.2,-1.074,-1.768,-0.39158615
15,1.4,-0.624,-1.718,-0.17945411
16,1.6,-0.336,-1.268,-0.68857099
17,1.6,-0.336,-1.268,-0.68857099
18,1.6,-0.336,-1.268,-0.68857099
19,1.8,0.056,-1.068,-0.2925912
20,1.8,0.056,-1.068,-0.2925912
21,1.8,0.056,-1.068,-0.2925912
22,1.6,-1.1445,-1.07,-0.22329473
23,1.8,-0.6945,-1.02,-0.0111627
24,2,-0.4065,-0.57,-0.52027958
25,2,-0.4065,-0.57,-0.52027958
26,2,-0.4065,-0.57,-0.52027958
27,2.2,-0.0145,-0.37,-0.12429978
28,2.2,-0.0145,-0.37,-0.12429978
29,2.2,-0.0145,-0.37,-0.12429978
30,2,-1.215,-0.372,-0.05500332
31,2.2,-0.765,-0.322,0.15712872
32,2.4,-0.477,0.128,-0.35198817
33,2.4,-0.477,0.128,-0.35198817
34,2.4,-0.477,0.128,-0.35198817
35,2.4,-0.477,0.128,-0.35198817
36,2.2,-0.479,-2.05,-0.25865007
37,2.2,-0.479,-2.05,-0.25865007
38,2.2,-0.479,-2.05,-0.25865007
39,2.2,-0.479,-2.05,-0.25865007
40,2.4,-0.191,-1.6,-0.76776695
41,2.4,-0.191,-1.6,-0.76776695
42,2.4,-0.191,-1.6,-0.76776695
43,2.6,0.201,-1.4,-0.37178716
44,2.6,0.201,-1.4,-0.37178716
45,2.6,0.201,-1.4,-0.37178716
46,2.4,-0.9995,-1.402,-0.30249069
47,2.6,-0.5495,-1.352,-0.09035866
48,2.8,-0.2615,-0.902,-0.59947554
49,2.8,-0.2615,-0.902,-0.59947554
50,2.8,-0.2615,-0.902,-0.59947554
51,2.8,-0.2615,-0.902,-0.59947554
52,2.8,-0.2615,-0.902,-0.59947554
53,2.8,-0.2615,-0.902,-0.59947554
54,2.6,-1.462,-0.904,-0.53017907
55,2.8,-1.012,-0.854,-0.31804704
56,2.8,-1.012,-0.854,-0.31804704
57,2.8,-1.012,-0.854,-0.31804704
58,2.8,-1.012,-0.854,-0.31804704
59,3,-0.62,-0.654,0.07793276
60,3,-0.62,-0.654,0.07793276
61,3,-0.62,-0.654,0.07793276
62,3,-0.62,-0.654,0.07793276
63,3,-0.62,-0.654,0.07793276
64,3,-0.62,-0.654,0.07793276
65,3,-0.62,-0.654,0.07793276
66,3,-0.62,-0.654,0.07793276
67,3,-0.62,-0.654,0.07793276
68,3,-0.62,-0.654,0.07793276
69,3,-0.62,-0.654,0.07793276
70,3,-0.62,-0.654,0.07793276
71,3,-0.62,-0.654,0.07793276
72,3,-0.62,-0.654,0.07793276
